Architecture :                          x86_64
Mode(s) opératoire(s) des processeurs : 32-bit, 64-bit
Tailles des adresses:                   39 bits physical, 48 bits virtual
Boutisme :                              Little Endian
Processeur(s) :                         4
Liste de processeur(s) en ligne :       0-3
Identifiant constructeur :              GenuineIntel
Nom de modèle :                         Intel(R) Core(TM) m3-7Y30 CPU @ 1.00GHz
Famille de processeur :                 6
Modèle :                                142
Thread(s) par cœur :                    2
Cœur(s) par socket :                    2
Socket(s) :                             1
Révision :                              9
multiplication des MHz du/des CPU(s) :  31%
Vitesse maximale du processeur en MHz : 2600,0000
Vitesse minimale du processeur en MHz : 400,0000
BogoMIPS :                              3199.92
Drapeaux :                              fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf pni pclmulqdq dtes64 monitor ds_cpl vmx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb invpcid_single pti ssbd ibrs ibpb stibp tpr_shadow vnmi flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid mpx rdseed adx smap clflushopt intel_pt xsaveopt xsavec xgetbv1 xsaves dtherm ida arat pln pts hwp hwp_notify hwp_act_window hwp_epp md_clear flush_l1d arch_capabilities
Virtualisation :                        VT-x
Cache L1d :                             64 KiB (2 instances)
Cache L1i :                             64 KiB (2 instances)
Cache L2 :                              512 KiB (2 instances)
Cache L3 :                              4 MiB (1 instance)
Nœud(s) NUMA :                          1
Nœud NUMA 0 de processeur(s) :          0-3
Vulnérabilité Itlb multihit :           KVM: Mitigation: VMX disabled
Vulnérabilité L1tf :                    Mitigation; PTE Inversion; VMX conditional cache flushes, SMT vulnerable
Vulnérabilité Mds :                     Mitigation; Clear CPU buffers; SMT vulnerable
Vulnérabilité Meltdown :                Mitigation; PTI
Vulnérabilité Spec store bypass :       Mitigation; Speculative Store Bypass disabled via prctl
Vulnérabilité Spectre v1 :              Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnérabilité Spectre v2 :              Mitigation; Retpolines, IBPB conditional, IBRS_FW, STIBP conditional, RSB filling
Vulnérabilité Srbds :                   Mitigation; Microcode
Vulnérabilité Tsx async abort :         Not affected
