Module                  Size  Used by
snd_seq_dummy          16384  0
snd_hrtimer            16384  1
snd_seq                94208  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
cmac                   16384  1
ccm                    20480  3
nft_fib_inet           16384  1
nft_fib_ipv4           16384  1 nft_fib_inet
nft_fib_ipv6           16384  1 nft_fib_inet
nft_fib                16384  3 nft_fib_ipv6,nft_fib_ipv4,nft_fib_inet
nft_reject_inet        16384  6
nf_reject_ipv4         16384  1 nft_reject_inet
nf_reject_ipv6         24576  1 nft_reject_inet
nft_reject             16384  1 nft_reject_inet
nft_ct                 20480  9
nft_chain_nat          16384  2
nf_tables             286720  184 nft_ct,nft_reject_inet,nft_fib_ipv6,nft_fib_ipv4,nft_chain_nat,nft_reject,nft_fib,nft_fib_inet
ip6table_nat           16384  0
ip6table_mangle        16384  0
ip6table_raw           16384  0
ip6table_security      16384  0
iptable_nat            16384  0
nf_nat                 57344  3 ip6table_nat,nft_chain_nat,iptable_nat
nf_conntrack          188416  2 nf_nat,nft_ct
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
libcrc32c              16384  3 nf_conntrack,nf_nat,nf_tables
iptable_mangle         16384  0
iptable_raw            16384  0
iptable_security       16384  0
nfnetlink              20480  2 nf_tables
ip6table_filter        16384  0
ip6_tables             32768  5 ip6table_filter,ip6table_raw,ip6table_nat,ip6table_mangle,ip6table_security
iptable_filter         16384  0
intel_tcc_cooling      16384  0
x86_pkg_temp_thermal    20480  0
intel_powerclamp       20480  0
snd_soc_skl           225280  0
coretemp               20480  0
kvm_intel             401408  0
snd_soc_hdac_hda       28672  1 snd_soc_skl
snd_hda_ext_core       36864  2 snd_soc_hdac_hda,snd_soc_skl
snd_soc_sst_ipc        20480  1 snd_soc_skl
ath10k_pci             57344  0
snd_soc_sst_dsp        36864  1 snd_soc_skl
kvm                  1179648  1 kvm_intel
snd_hda_codec_hdmi     90112  1
ath10k_core           684032  1 ath10k_pci
snd_soc_acpi_intel_match    61440  1 snd_soc_skl
snd_hda_codec_realtek   180224  1
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_soc_skl
snd_hda_codec_generic   110592  1 snd_hda_codec_realtek
snd_soc_core          409600  2 snd_soc_hdac_hda,snd_soc_skl
ledtrig_audio          16384  1 snd_hda_codec_generic
ath                    40960  1 ath10k_core
snd_compress           28672  1 snd_soc_core
btusb                  69632  0
ac97_bus               16384  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
irqbypass              16384  1 kvm
mac80211             1290240  1 ath10k_core
snd_hda_intel          61440  1
btrtl                  28672  1 btusb
crct10dif_pclmul       16384  1
crc32_pclmul           16384  0
btbcm                  24576  1 btusb
libarc4                16384  1 mac80211
ghash_clmulni_intel    16384  0
btintel                49152  1 btusb
snd_intel_dspcfg       36864  2 snd_hda_intel,snd_soc_skl
iTCO_wdt               16384  0
aesni_intel           380928  3
cfg80211             1093632  3 ath,mac80211,ath10k_core
