Module                  Size  Used by
nls_iso8859_1          16384  1
nls_cp437              20480  1
vfat                   20480  1
fat                    86016  1 vfat
8021q                  40960  0
garp                   16384  1 8021q
mrp                    20480  1 8021q
stp                    16384  1 garp
llc                    16384  2 stp,garp
8250_dw                28672  0
wl                   6463488  0
ath10k_pci             61440  0
ath10k_core           565248  1 ath10k_pci
snd_soc_skl           118784  0
ath                    36864  1 ath10k_core
intel_rapl             28672  0
snd_soc_hdac_hda       24576  1 snd_soc_skl
snd_hda_ext_core       36864  2 snd_soc_hdac_hda,snd_soc_skl
x86_pkg_temp_thermal    20480  0
intel_powerclamp       20480  0
coretemp               20480  0
snd_soc_skl_ipc        69632  1 snd_soc_skl
kvm_intel             311296  0
snd_soc_sst_ipc        20480  1 snd_soc_skl_ipc
mac80211              958464  1 ath10k_core
snd_soc_sst_dsp        40960  1 snd_soc_skl_ipc
snd_soc_acpi_intel_match    28672  1 snd_soc_skl
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_soc_skl
snd_hda_codec_hdmi     61440  1
snd_soc_core          282624  2 snd_soc_hdac_hda,snd_soc_skl
kvm                   745472  1 kvm_intel
snd_hda_codec_realtek   126976  1
snd_hda_codec_generic    90112  1 snd_hda_codec_realtek
ledtrig_audio          16384  2 snd_hda_codec_generic,snd_hda_codec_realtek
snd_compress           28672  1 snd_soc_core
ac97_bus               16384  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
snd_hda_intel          49152  0
snd_hda_codec         155648  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda
btusb                  57344  0
btrtl                  20480  1 btusb
btbcm                  16384  1 btusb
irqbypass              16384  1 kvm
btintel                28672  1 btusb
snd_hda_core          102400  8 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_soc_skl
mei_hdcp               24576  0
iTCO_wdt               16384  0
iTCO_vendor_support    16384  1 iTCO_wdt
cfg80211              815104  4 wl,ath,mac80211,ath10k_core
snd_hwdep              16384  1 snd_hda_codec
crct10dif_pclmul       16384  1
snd_pcm               135168  8 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_soc_core,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
ipu3_imgu             225280  0
bluetooth             663552  5 btrtl,btintel,btbcm,btusb
ghash_clmulni_intel    16384  0
ipu3_cio2              40960  0
intel_cstate           16384  0
v4l2_fwnode            32768  1 ipu3_cio2
snd_timer              40960  1 snd_pcm
intel_uncore          135168  0
snd                    98304  10 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_compress,snd_soc_core,snd_pcm
videobuf2_dma_sg       16384  2 ipu3_cio2,ipu3_imgu
videobuf2_memops       20480  1 videobuf2_dma_sg
videobuf2_v4l2         28672  2 ipu3_cio2,ipu3_imgu
intel_rapl_perf        16384  0
videobuf2_common       57344  3 ipu3_cio2,videobuf2_v4l2,ipu3_imgu
mei_me                 45056  1
pcspkr                 16384  0
soundcore              16384  1 snd
idma64                 20480  0
videodev              229376  5 v4l2_fwnode,ipu3_cio2,videobuf2_v4l2,videobuf2_common,ipu3_imgu
mei                   118784  3 mei_hdcp,mei_me
i2c_i801               36864  0
joydev                 28672  0
ecdh_generic           24576  1 bluetooth
mousedev               24576  0
input_leds             16384  0
rfkill                 28672  3 bluetooth,cfg80211
crc16                  16384  1 bluetooth
intel_xhci_usb_role_switch    16384  0
intel_pch_thermal      16384  0
intel_vbtn             20480  0
intel_lpss_pci         20480  0
roles                  16384  1 intel_xhci_usb_role_switch
media                  57344  5 videodev,ipu3_cio2,videobuf2_v4l2,videobuf2_common,ipu3_imgu
evdev                  20480  4
processor_thermal_device    16384  0
int3403_thermal        16384  0
